11:00:48.793 INFO  org.elasticsearch.plugins - [Ord] loaded [], sites []
11:00:49.386 INFO  iz.tracex.TracExMain - Load properties from C:\skillUp\TracEx\dist\TracEx.properties
11:00:49.401 INFO  iz.tracex.TracExMain - Apply default value. DATABASE = ccm
11:00:49.401 INFO  iz.tracex.TracExMain - Apply default value. DEVELOP = false
11:00:49.401 INFO  iz.tracex.TracExMain - Apply default value. ELASTICIP = 172.27.91.238
11:00:49.401 INFO  iz.tracex.TracExMain - Apply default value. ELASTICPORT = 9300
11:00:49.401 INFO  iz.tracex.TracExMain - Apply default value. ELASTICCLUSTERNAME = elasticsearch
11:03:23.542 INFO  iz.tracex.BatchMain - Batch finished. time = 154.0s
11:32:03.919 INFO  iz.tracex.TracExMain - Start!
11:32:03.924 INFO  iz.tracex.TracExService - Start service.
11:32:03.927 INFO  iz.tracex.TracExMain - Load properties from C:\skillUp\TracEx\dist\TracEx.properties
11:32:03.933 INFO  iz.tracex.TracExMain - Apply default value. DATABASE = ccm
11:32:03.933 INFO  iz.tracex.TracExMain - Apply default value. DEVELOP = false
11:32:03.933 INFO  iz.tracex.TracExMain - Apply default value. ELASTICIP = 172.27.91.238
11:32:03.933 INFO  iz.tracex.TracExMain - Apply default value. ELASTICPORT = 9300
11:32:03.934 INFO  iz.tracex.TracExMain - Apply default value. ELASTICCLUSTERNAME = elasticsearch
11:32:55.828 INFO  iz.tracex.TracExMain - Start!
11:32:55.833 INFO  iz.tracex.TracExService - Start service.
11:32:55.836 INFO  iz.tracex.TracExMain - Load properties from C:\skillUp\TracEx\dist\TracEx.properties
11:32:55.843 INFO  iz.tracex.TracExMain - Apply default value. DATABASE = ccm
11:32:55.844 INFO  iz.tracex.TracExMain - Apply default value. DEVELOP = false
11:32:55.844 INFO  iz.tracex.TracExMain - Apply default value. ELASTICIP = 172.27.91.238
11:32:55.844 INFO  iz.tracex.TracExMain - Apply default value. ELASTICPORT = 9300
11:32:55.844 INFO  iz.tracex.TracExMain - Apply default value. ELASTICCLUSTERNAME = elasticsearch
11:33:01.404 INFO  iz.tracex.TracExMain - Start!
11:33:01.409 INFO  iz.tracex.TracExService - Start service.
11:33:01.411 INFO  iz.tracex.TracExMain - Load properties from C:\skillUp\TracEx\dist\TracEx.properties
11:33:01.417 INFO  iz.tracex.TracExMain - Apply default value. DATABASE = ccm
11:33:01.417 INFO  iz.tracex.TracExMain - Apply default value. DEVELOP = false
11:33:01.417 INFO  iz.tracex.TracExMain - Apply default value. ELASTICIP = 172.27.91.238
11:33:01.417 INFO  iz.tracex.TracExMain - Apply default value. ELASTICPORT = 9300
11:33:01.417 INFO  iz.tracex.TracExMain - Apply default value. ELASTICCLUSTERNAME = elasticsearch
11:33:14.054 INFO  iz.tracex.TracExMain - Start!
11:33:14.061 INFO  iz.tracex.TracExService - Start service.
11:33:14.063 INFO  iz.tracex.TracExMain - Load properties from C:\skillUp\TracEx\dist\TracEx.properties
11:33:14.069 INFO  iz.tracex.TracExMain - Apply default value. DATABASE = ccm
11:33:14.069 INFO  iz.tracex.TracExMain - Apply default value. DEVELOP = false
11:33:14.069 INFO  iz.tracex.TracExMain - Apply default value. ELASTICIP = 172.27.91.238
11:33:14.069 INFO  iz.tracex.TracExMain - Apply default value. ELASTICPORT = 9300
11:33:14.069 INFO  iz.tracex.TracExMain - Apply default value. ELASTICCLUSTERNAME = elasticsearch
11:34:34.466 INFO  iz.tracex.TracExMain - Start!
11:34:34.466 INFO  iz.tracex.TracExService - Start service.
11:34:34.466 INFO  iz.tracex.TracExMain - Load properties from C:\skillUp\TracEx\dist\TracEx.properties
11:34:34.466 INFO  iz.tracex.TracExMain - Apply default value. DATABASE = ccm
11:34:34.466 INFO  iz.tracex.TracExMain - Apply default value. DEVELOP = false
11:34:34.466 INFO  iz.tracex.TracExMain - Apply default value. ELASTICIP = 172.27.91.238
11:34:34.466 INFO  iz.tracex.TracExMain - Apply default value. ELASTICPORT = 9300
11:34:34.466 INFO  iz.tracex.TracExMain - Apply default value. ELASTICCLUSTERNAME = elasticsearch
11:46:57.843 INFO  iz.tracex.TracExMain - Start!
11:46:57.843 INFO  iz.tracex.TracExService - Start service.
11:46:57.843 INFO  iz.tracex.TracExMain - Load properties from C:\skillUp\TracEx\dist\TracEx.properties
11:46:57.859 INFO  iz.tracex.TracExMain - Apply default value. DATABASE = ccm
11:46:57.859 INFO  iz.tracex.TracExMain - Apply default value. DEVELOP = false
11:46:57.859 INFO  iz.tracex.TracExMain - Apply default value. ELASTICIP = 172.27.91.238
11:46:57.859 INFO  iz.tracex.TracExMain - Apply default value. ELASTICPORT = 9300
11:46:57.859 INFO  iz.tracex.TracExMain - Apply default value. ELASTICCLUSTERNAME = elasticsearch
11:47:00.012 INFO  iz.tracex.TracExMain - Start!
11:47:00.027 INFO  iz.tracex.TracExService - Start service.
11:47:00.027 INFO  iz.tracex.TracExMain - Load properties from C:\skillUp\TracEx\dist\TracEx.properties
11:47:00.027 INFO  iz.tracex.TracExMain - Apply default value. DATABASE = ccm
11:47:00.027 INFO  iz.tracex.TracExMain - Apply default value. DEVELOP = false
11:47:00.027 INFO  iz.tracex.TracExMain - Apply default value. ELASTICIP = 172.27.91.238
11:47:00.027 INFO  iz.tracex.TracExMain - Apply default value. ELASTICPORT = 9300
11:47:00.027 INFO  iz.tracex.TracExMain - Apply default value. ELASTICCLUSTERNAME = elasticsearch
11:47:01.400 INFO  iz.tracex.TracExMain - Start!
11:47:01.400 INFO  iz.tracex.TracExService - Start service.
11:47:01.400 INFO  iz.tracex.TracExMain - Load properties from C:\skillUp\TracEx\dist\TracEx.properties
11:47:01.400 INFO  iz.tracex.TracExMain - Apply default value. DATABASE = ccm
11:47:01.400 INFO  iz.tracex.TracExMain - Apply default value. DEVELOP = false
11:47:01.400 INFO  iz.tracex.TracExMain - Apply default value. ELASTICIP = 172.27.91.238
11:47:01.400 INFO  iz.tracex.TracExMain - Apply default value. ELASTICPORT = 9300
11:47:01.400 INFO  iz.tracex.TracExMain - Apply default value. ELASTICCLUSTERNAME = elasticsearch
11:51:33.173 INFO  iz.tracex.TracExMain - Start!
11:51:33.178 INFO  iz.tracex.TracExService - Start service.
11:51:33.181 INFO  iz.tracex.TracExMain - Load properties from C:\skillUp\TracEx\dist\TracEx.properties
11:51:33.188 INFO  iz.tracex.TracExMain - Apply default value. DATABASE = ccm
11:51:33.188 INFO  iz.tracex.TracExMain - Apply default value. DEVELOP = false
11:51:33.188 INFO  iz.tracex.TracExMain - Apply default value. ELASTICIP = 172.27.91.238
11:51:33.188 INFO  iz.tracex.TracExMain - Apply default value. ELASTICPORT = 9300
11:51:33.188 INFO  iz.tracex.TracExMain - Apply default value. ELASTICCLUSTERNAME = elasticsearch
11:54:03.769 INFO  iz.tracex.TracExMain - Start!
11:54:03.774 INFO  iz.tracex.TracExService - Start service.
11:54:03.777 INFO  iz.tracex.TracExMain - Load properties from C:\skillUp\TracEx\dist\TracEx.properties
11:54:03.785 INFO  iz.tracex.TracExMain - Apply default value. DATABASE = ccm
11:54:03.785 INFO  iz.tracex.TracExMain - Apply default value. DEVELOP = false
11:54:03.785 INFO  iz.tracex.TracExMain - Apply default value. ELASTICIP = 172.27.91.238
11:54:03.785 INFO  iz.tracex.TracExMain - Apply default value. ELASTICPORT = 9300
11:54:03.785 INFO  iz.tracex.TracExMain - Apply default value. ELASTICCLUSTERNAME = elasticsearch
11:54:23.161 INFO  iz.tracex.TracExMain - Start!
11:54:23.166 INFO  iz.tracex.TracExService - Start service.
11:54:23.170 INFO  iz.tracex.TracExMain - Load properties from C:\skillUp\TracEx\dist\TracEx.properties
11:54:23.175 INFO  iz.tracex.TracExMain - Apply default value. DATABASE = ccm
11:54:23.176 INFO  iz.tracex.TracExMain - Apply default value. DEVELOP = false
11:54:23.176 INFO  iz.tracex.TracExMain - Apply default value. ELASTICIP = 172.27.91.238
11:54:23.176 INFO  iz.tracex.TracExMain - Apply default value. ELASTICPORT = 9300
11:54:23.176 INFO  iz.tracex.TracExMain - Apply default value. ELASTICCLUSTERNAME = elasticsearch
11:54:28.796 INFO  iz.tracex.TracExMain - Start!
11:54:28.801 INFO  iz.tracex.TracExService - Start service.
11:54:28.803 INFO  iz.tracex.TracExMain - Load properties from C:\skillUp\TracEx\dist\TracEx.properties
11:54:28.810 INFO  iz.tracex.TracExMain - Apply default value. DATABASE = ccm
11:54:28.810 INFO  iz.tracex.TracExMain - Apply default value. DEVELOP = false
11:54:28.810 INFO  iz.tracex.TracExMain - Apply default value. ELASTICIP = 172.27.91.238
11:54:28.810 INFO  iz.tracex.TracExMain - Apply default value. ELASTICPORT = 9300
11:54:28.810 INFO  iz.tracex.TracExMain - Apply default value. ELASTICCLUSTERNAME = elasticsearch
11:54:32.031 INFO  iz.tracex.TracExMain - Start!
11:54:32.036 INFO  iz.tracex.TracExService - Start service.
11:54:32.039 INFO  iz.tracex.TracExMain - Load properties from C:\skillUp\TracEx\dist\TracEx.properties
11:54:32.045 INFO  iz.tracex.TracExMain - Apply default value. DATABASE = ccm
11:54:32.045 INFO  iz.tracex.TracExMain - Apply default value. DEVELOP = false
11:54:32.045 INFO  iz.tracex.TracExMain - Apply default value. ELASTICIP = 172.27.91.238
11:54:32.046 INFO  iz.tracex.TracExMain - Apply default value. ELASTICPORT = 9300
11:54:32.046 INFO  iz.tracex.TracExMain - Apply default value. ELASTICCLUSTERNAME = elasticsearch
11:54:33.411 INFO  iz.tracex.TracExMain - Start!
11:54:33.416 INFO  iz.tracex.TracExService - Start service.
11:54:33.419 INFO  iz.tracex.TracExMain - Load properties from C:\skillUp\TracEx\dist\TracEx.properties
11:54:33.426 INFO  iz.tracex.TracExMain - Apply default value. DATABASE = ccm
11:54:33.426 INFO  iz.tracex.TracExMain - Apply default value. DEVELOP = false
11:54:33.426 INFO  iz.tracex.TracExMain - Apply default value. ELASTICIP = 172.27.91.238
11:54:33.426 INFO  iz.tracex.TracExMain - Apply default value. ELASTICPORT = 9300
11:54:33.426 INFO  iz.tracex.TracExMain - Apply default value. ELASTICCLUSTERNAME = elasticsearch
11:54:49.277 INFO  iz.tracex.TracExMain - Start!
11:54:49.283 INFO  iz.tracex.TracExService - Start service.
11:54:49.286 INFO  iz.tracex.TracExMain - Load properties from C:\skillUp\TracEx\dist\TracEx.properties
11:54:49.293 INFO  iz.tracex.TracExMain - Apply default value. DATABASE = ccm
11:54:49.293 INFO  iz.tracex.TracExMain - Apply default value. DEVELOP = false
11:54:49.293 INFO  iz.tracex.TracExMain - Apply default value. ELASTICIP = 172.27.91.238
11:54:49.294 INFO  iz.tracex.TracExMain - Apply default value. ELASTICPORT = 9300
11:54:49.294 INFO  iz.tracex.TracExMain - Apply default value. ELASTICCLUSTERNAME = elasticsearch
11:55:26.794 INFO  iz.tracex.TracExMain - Start!
11:55:26.810 INFO  iz.tracex.TracExService - Start service.
11:55:26.810 INFO  iz.tracex.TracExMain - Load properties from C:\skillUp\TracEx\dist\TracEx.properties
11:55:26.810 INFO  iz.tracex.TracExMain - Apply default value. DATABASE = ccm
11:55:26.810 INFO  iz.tracex.TracExMain - Apply default value. DEVELOP = false
11:55:26.810 INFO  iz.tracex.TracExMain - Apply default value. ELASTICIP = 172.27.91.238
